,TH[V],HV[V],N[5min]
156,0.140540541,817.1471471,0.64
157,0.141441441,817.5775776,0.64
158,0.142342342,818.008008,0.64
159,0.143243243,818.4384384,0.64
160,0.144144144,818.8688689,0.64
161,0.145045045,819.2992993,0.64
162,0.145945946,819.7297297,0.64
163,0.146846847,820.1601602,0.64
164,0.147747748,820.5905906,0.64
165,0.148648649,821.021021,0.64
166,0.14954955,821.4514515,0.64
167,0.15045045,821.8818819,0.64
168,0.151351351,822.3123123,0.64
169,0.152252252,822.7427427,0.64
170,0.153153153,823.1731732,0.64
171,0.154054054,823.6036036,0.64
172,0.154954955,824.034034,0.64
173,0.155855856,824.4644645,0.64
174,0.156756757,824.8948949,0.64
175,0.157657658,825.3253253,0.64
176,0.158558559,825.7557558,0.64
177,0.159459459,826.1861862,0.64
178,0.16036036,826.6166166,0.64
179,0.161261261,827.047047,0.64
180,0.162162162,827.4774775,0.64
181,0.163063063,827.9079079,0.64
182,0.163963964,828.3383383,0.64
183,0.164864865,828.7687688,0.64
184,0.165765766,829.1991992,0.64
185,0.166666667,829.6296296,0.64
186,0.167567568,830.0600601,0.64
187,0.168468468,830.4904905,0.64
188,0.169369369,830.9209209,0.64
189,0.17027027,831.3513514,0.64
190,0.171171171,831.7817818,0.64
191,0.172072072,832.2122122,0.64
192,0.172972973,832.6426426,0.64
193,0.173873874,833.0730731,0.64
194,0.174774775,833.5035035,0.64
195,0.175675676,833.9339339,0.64
196,0.176576577,834.3643644,0.64
197,0.177477477,834.7947948,0.64
198,0.178378378,835.2252252,0.64
199,0.179279279,835.6556557,0.64
200,0.18018018,836.0860861,0.64
201,0.181081081,836.5165165,0.64
202,0.181981982,836.9469469,0.64
203,0.182882883,837.3773774,0.64
204,0.183783784,837.8078078,0.64
205,0.184684685,838.2382382,0.64
206,0.185585586,838.6686687,0.64
207,0.186486486,839.0990991,0.64
208,0.187387387,839.5295295,0.64
209,0.188288288,839.95996,0.64
210,0.189189189,840.3903904,0.64
211,0.19009009,840.8208208,0.64
212,0.190990991,841.2512513,0.64
213,0.191891892,841.6816817,0.64
214,0.192792793,842.1121121,0.64
215,0.193693694,842.5425425,0.64
216,0.194594595,842.972973,0.64
217,0.195495495,843.4034034,0.64
218,0.196396396,843.8338338,0.64
219,0.197297297,844.2642643,0.64
220,0.198198198,844.6946947,0.64
221,0.199099099,845.1251251,0.64
222,0.2,845.5555556,0.64
223,0.200900901,845.985986,0.64
224,0.201801802,846.4164164,0.64
225,0.202702703,846.8468468,0.64
226,0.203603604,847.2772773,0.64
227,0.204504505,847.7077077,0.64
228,0.205405405,848.1381381,0.64
229,0.206306306,848.5685686,0.64
230,0.207207207,848.998999,0.64
231,0.208108108,849.4294294,0.64
232,0.209009009,849.8598599,0.64
233,0.20990991,850.2902903,0.64
234,0.210810811,850.7207207,0.64
235,0.211711712,851.1511512,0.64
236,0.212612613,851.5815816,0.64
237,0.213513514,852.012012,0.64
238,0.214414414,852.4424424,0.64
239,0.215315315,852.8728729,0.64
240,0.216216216,853.3033033,0.64
241,0.217117117,853.7337337,0.64
242,0.218018018,854.1641642,0.64
243,0.218918919,854.5945946,0.64
244,0.21981982,855.025025,0.64
245,0.220720721,855.4554555,0.64
246,0.221621622,855.8858859,0.64
247,0.222522523,856.3163163,0.64
248,0.223423423,856.7467467,0.64
